payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
474|624|27/04/2018|6|1240|65.4|1305.4|Transfer||t||2|RHB Bank Berhad|||||22196
475|359|27/04/2018|6|400|15|415|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|24/04/2018|Local|620391|22197
476|308|27/04/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|24/04/2018|Local|822332|22198
477|354|27/04/2018|6|399.98|15|414.98|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|24/04/2018|Local|582458|22200
478|100|27/04/2018|6|420|25.2|445.2|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|26/04/2018|Local|58768|22201
479|168|27/04/2018|6|840|50.4|890.4|Transfer||f|wrongly key in|2|RHB Bank Berhad|||||22203
480|168|27/04/2018|6|1240|65.4|1305.4|Transfer||t||2|RHB Bank Berhad|||||22203
481|670|27/04/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22204
482|824|25/04/2018|6|474.53|25.47|500|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22178
483|825|19/04/2018|6|474.53|25.47|500|Cash||t||2|RHB Bank Berhad|||||22129
484|825|30/04/2018|6|2465.09|84.91|2550|Cash||t||2|RHB Bank Berhad|||||22205
485|142|30/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22206
486|141|30/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22207
469|163|26/04/2018|6|291.54|14.74|306.28|Cheque||f|WRONGLY KEY IN|2|RHB Bank Berhad|RHB Bank Berhad|13/04/2018|Local|866167|22190
487|40|30/04/2018|6|96|5.76|101.76|Transfer||t||2|RHB Bank Berhad|||||22208
488|680|30/04/2018|6|161|9.66|170.66|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|25/04/2018|Local|713536|22209
489|539|30/04/2018|6|280|16.8|296.8|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|19/04/2018|Local|40970|22211
490|593|04/05/2018|6|400|15|415|Cash||t||2|RHB Bank Berhad|||||22212
491|548|30/04/2018|6|400|15|415|Cash||t||2|RHB Bank Berhad|||||22213
492|95|30/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22214
493|290|02/05/2018|6|16934.72|28.48|16963.2|Transfer||t||2|RHB Bank Berhad|||||22215
494|290|02/05/2018|6|9460|156|9616|Transfer||t||2|RHB Bank Berhad|||||22216
495|325|02/05/2018|6|328.68|16.72|345.4|Transfer||t||2|RHB Bank Berhad|||||22217
496|336|02/05/2018|6|370|16.2|386.2|Transfer||t||2|RHB Bank Berhad|||||22218
497|787|02/05/2018|6|65.9|3|68.9|Transfer||t||2|RHB Bank Berhad|||||22219
498|824|03/05/2018|6|2415.09|84.91|2500|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|03/05/2018|Local|20|22220
499|36|03/05/2018|6|998|59.88|1057.88|Transfer||t||2|RHB Bank Berhad|||||22221
500|35|03/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22222
501|431|03/05/2018|6|238.68|11.32|250|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22223
502|365|03/05/2018|6|410|15.6|425.6|Cheque||t||2|RHB Bank Berhad|OCBC Bank (Malaysia) Berhad|02/05/2018|Local|998|22224
503|366|03/05/2018|6|400.76|21.04|421.8|Cheque||t||2|RHB Bank Berhad|OCBC Bank (Malaysia) Berhad|02/05/2018|Local|998|22225
504|55|03/05/2018|6|44|2.64|46.64|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|26/04/2018|Local|364741|22226
505|610|03/05/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|04/05/2018|Local|366529|22227
